Sample, clk, data
27857119, 1, 0
27857171, 0, 0
27857231, 1, 0
27857283, 0, 0
27857344, 1, 0
27857396, 0, 0
27857456, 1, 0
27857507, 0, 0
27857568, 1, 0
27857620, 0, 0
27857680, 1, 0
27857732, 0, 0
27857793, 1, 0
27857844, 0, 0
27857905, 1, 0
27857957, 0, 0
27858018, 1, 0
27858069, 0, 0
27858130, 1, 0
27858181, 0, 0
27858242, 1, 0
27858294, 0, 0
27858355, 1, 0
27858406, 0, 0
27858467, 1, 0
27858519, 0, 0
27858579, 1, 0
27858631, 0, 0
27858692, 1, 0
27858743, 0, 0
27858804, 1, 0
27858856, 0, 0
27858916, 1, 0
27858968, 0, 0
27859029, 1, 0
27859080, 0, 0
27859141, 1, 0
27859192, 0, 0
27859253, 1, 0
27859305, 0, 0
27859365, 1, 0
27859417, 0, 0
27859478, 1, 0
27859529, 0, 0
27859590, 1, 0
27859641, 0, 0
27859702, 1, 0
27859754, 0, 0
27859814, 1, 0
27859866, 0, 0
27859926, 1, 0
27859978, 0, 0
27860039, 1, 0
27860090, 0, 0
27860151, 1, 0
27860203, 0, 0
27860264, 1, 0
27860315, 0, 0
27860376, 1, 0
27860428, 0, 0
27860488, 1, 0
27860540, 0, 0
27860601, 1, 0
27860652, 0, 0
27860713, 1, 0
27860765, 0, 0
27860826, 1, 0
27860877, 0, 0
27860938, 1, 0
27860990, 0, 0
27861051, 1, 0
27861102, 0, 0
27861163, 1, 0
27861215, 0, 0
27861275, 1, 0
27861327, 0, 0
27861388, 1, 0
27861440, 0, 0
27861501, 1, 0
27861552, 0, 0
27861613, 1, 0
27861664, 0, 0
27861725, 1, 0
27861777, 0, 0
27861837, 1, 0
27861889, 0, 0
27861950, 1, 0
27862001, 0, 0
27862062, 1, 0
27862113, 0, 0
27862174, 1, 0
27862226, 0, 0
27862287, 1, 0
27862338, 0, 0
27862399, 1, 0
27862451, 0, 0
27862512, 1, 0
27862563, 0, 0
27862624, 1, 0
27862675, 0, 0
27862736, 1, 0
27862788, 0, 0
27862849, 1, 0
27862900, 0, 0
27862961, 1, 0
27863013, 0, 0
27863073, 1, 0
27863125, 0, 0
27863186, 1, 0
27863237, 0, 0
27863298, 1, 0
27863349, 0, 0
27863410, 1, 0
27863462, 0, 0
27863523, 1, 0
27863574, 0, 0
27863635, 1, 0
27863687, 0, 0
27863747, 1, 0
27863799, 0, 0
27863860, 1, 0
27863911, 0, 0
27863972, 1, 0
27864024, 0, 0
27864085, 1, 0
27864136, 0, 0
27864197, 1, 0
27864249, 0, 0
27864309, 1, 0
27864361, 0, 0
27864421, 1, 0
27864473, 0, 0
27864534, 1, 0
27864586, 0, 0
27864646, 1, 0
27864698, 0, 1
27864784, 1, 1
27864834, 1, 0
27864885, 0, 0
27864911, 0, 1
27864959, 1, 1
27865012, 0, 1
27865029, 0, 0
27865077, 1, 0
27865129, 0, 0
27865195, 1, 0
27865248, 0, 0
27865313, 1, 0
27865366, 0, 0
27865385, 0, 1
27865432, 1, 1
27865485, 0, 1
27865551, 1, 1
27865604, 0, 1
27865622, 0, 0
27865670, 1, 0
27865723, 0, 0
27865788, 1, 0
27865841, 0, 0
27865918, 1, 0
27865971, 0, 0
27866037, 1, 0
27866090, 0, 0
27866155, 1, 0
27866208, 0, 0
27866273, 1, 0
27866326, 0, 0
27866392, 1, 0
27866445, 0, 0
27866510, 1, 0
27866563, 0, 0
27866628, 1, 0
27866681, 0, 0
27866747, 1, 0
27866800, 0, 0
27866877, 1, 0
27866930, 0, 0
27866995, 1, 0
27867048, 0, 0
27867114, 1, 0
27867166, 0, 0
27867185, 0, 1
27867233, 1, 1
27867286, 0, 1
27867303, 0, 0
27867351, 1, 0
27867404, 0, 0
27867470, 1, 0
27867523, 0, 0
27867588, 1, 0
27867641, 0, 0
27867706, 1, 0
27867759, 0, 0
27867841, 1, 0
27867891, 1, 1
27867941, 0, 1
27868013, 1, 1
27868075, 0, 1
27868130, 1, 1
27868192, 0, 1
27868246, 1, 1
27868308, 0, 0
27868362, 1, 0
27868426, 0, 0
27868480, 1, 0
27868544, 0, 0
27868598, 1, 0
27868661, 0, 0
27868716, 1, 0
27868779, 0, 0
27868833, 1, 0
27868896, 0, 0
27869014, 1, 0
27869077, 0, 0
27869132, 1, 0
27869195, 0, 0
27869250, 1, 0
27869313, 0, 0
